Year,Manufacturer,Division,Car_Model,City_FE_Alternative,Hwy2 Fuel FE (Guide) - Alternative Fuel,Comb2 Fuel FE (Guide) - Alternative Fuel,Annual_Fuel_Cost_Conventional,Annual_Fuel_Cost_Alternative,Fuel_Efficiency_Rating,GHG_Rating,Savings_5Yrs,Spending_5Yrs,City_CO2,Hwy_CO2,Comb_CO2
2021,Porsche,Porsche,911 Carrera 4 Cabriolet,18.0,24.0,20.0,2450,,4,4,,4750.0,492,366,443
2021,Porsche,Porsche,911 Carrera 4S,18.0,23.0,20.0,2450,,4,4,,4750.0,490,385,443
2021,Porsche,Porsche,911 Carrera 4S,17.0,25.0,20.0,2450,,4,4,,4750.0,519,349,442
2021,Porsche,Porsche,911 Carrera 4S Cabriolet,18.0,23.0,20.0,2450,,4,4,,4750.0,484,385,439
2021,Porsche,Porsche,911 Carrera 4S Cabriolet,17.0,24.0,20.0,2450,,4,4,,4750.0,520,368,452
2021,Porsche,Porsche,911 Carrera Cabriolet,18.0,24.0,20.0,2450,,4,4,,4750.0,492,369,443
2021,Porsche,Porsche,911 Carrera S,18.0,23.0,20.0,2450,,4,4,,4750.0,486,385,441
2021,Porsche,Porsche,911 Carrera S,18.0,25.0,21.0,2300,,4,4,,4000.0,483,354,425
2021,Porsche,Porsche,911 Carrera S Cabriolet,18.0,23.0,20.0,2450,,4,4,,4750.0,484,385,439
2021,Porsche,Porsche,911 Carrera S Cabriolet,17.0,25.0,20.0,2450,,4,4,,4750.0,521,354,443
2021,Porsche,Porsche,911 Targa 4,18.0,24.0,20.0,2450,,4,4,,4750.0,491,368,442
2021,Porsche,Porsche,911 Targa 4S,18.0,23.0,20.0,2450,,4,4,,4750.0,490,384,442
2021,Porsche,Porsche,911 Targa 4S,17.0,24.0,20.0,2450,,4,4,,4750.0,512,368,447
2021,Porsche,Porsche,911 Turbo,15.0,20.0,17.0,2850,,3,3,,6750.0,573,447,516
2021,Porsche,Porsche,911 Turbo Cabriolet,15.0,20.0,17.0,2850,,3,3,,6750.0,586,442,521
2021,Porsche,Porsche,911 Turbo S,15.0,20.0,17.0,2850,,3,3,,6750.0,577,443,517
2021,Porsche,Porsche,911 Turbo S Cabriolet,15.0,20.0,17.0,2850,,3,3,,6750.0,600,441,529
2021,Volkswagen Group of,Audi,A5 Cabriolet quattro,23.0,31.0,26.0,1900,,5,5,,2000.0,390,281,341
2021,Volkswagen Group of,Audi,A5 quattro,24.0,31.0,27.0,1800,,6,6,,1500.0,368,287,331
2021,Volkswagen Group of,Audi,RS 5,18.0,25.0,20.0,2450,,4,4,,4750.0,492,359,432
2021,Volkswagen Group of,Audi,S5,20.0,28.0,23.0,2100,,5,5,,3000.0,432,317,380
2021,Volkswagen Group of,Audi,S5 Cabriolet,20.0,26.0,22.0,2200,,4,4,,3500.0,440,335,393
2021,Volkswagen Group of,Audi,TT Coupe quattro,23.0,31.0,26.0,1550,,5,5,,250.0,389,290,344
2021,Volkswagen Group of,Audi,TT RS,20.0,30.0,24.0,2050,,5,5,,2750.0,434,298,373
2021,Volkswagen Group of,Audi,TTS Coupe,23.0,29.0,25.0,1950,,5,5,,2250.0,391,310,354
2021,Volkswagen Group of,Bentley,Continental GT,16.0,26.0,19.0,2550,,3,3,,5250.0,570,344,468
2021,Volkswagen Group of,Bentley,Continental GT,12.0,20.0,15.0,3250,,2,2,,8750.0,710,434,586
2021,BMW,BMW,230i Convertible,23.0,33.0,27.0,1800,,6,6,,1500.0,383,272,333
2021,BMW,BMW,230i Coupe,25.0,32.0,28.0,1750,,6,6,,1250.0,358,275,321
2021,BMW,BMW,230i Coupe,21.0,32.0,25.0,1950,,5,5,,2250.0,422,275,356
2021,BMW,BMW,230i xDrive Convertible,21.0,30.0,24.0,2050,,5,5,,2750.0,424,294,366
2021,BMW,BMW,230i xDrive Coupe,21.0,30.0,24.0,2050,,5,5,,2750.0,424,294,366
2021,BMW,BMW,430i Convertible,24.0,33.0,27.0,1800,,6,6,,1500.0,371,271,326
2021,BMW,BMW,430i Coupe,26.0,34.0,29.0,1700,,6,6,,1000.0,343,256,304
2021,BMW,BMW,430i xDrive Coupe,24.0,33.0,27.0,1800,,6,6,,1500.0,373,266,325
2021,BMW,BMW,840i Convertible,22.0,29.0,25.0,1950,,5,5,,2250.0,402,309,360
2021,BMW,BMW,840i Coupe,23.0,30.0,25.0,1950,,5,5,,2250.0,389,296,347
2021,BMW,BMW,840i xDrive Convertible,20.0,27.0,23.0,2100,,5,5,,3000.0,435,329,387
2021,BMW,BMW,840i xDrive Coupe,20.0,27.0,23.0,2100,,5,5,,3000.0,435,329,387
2021,BMW,BMW,M2 Competition Coupe,16.0,23.0,19.0,2550,,3,3,,5250.0,537,393,472
2021,BMW,BMW,M2 Competition Coupe,18.0,24.0,20.0,2450,,4,4,,4750.0,503,362,440
2021,BMW,BMW,M240i Convertible,21.0,30.0,24.0,2050,,5,5,,2750.0,421,298,366
2021,BMW,BMW,M240i Convertible,19.0,27.0,21.0,2300,,4,4,,4000.0,476,330,410
2021,BMW,BMW,M240i Coupe,21.0,30.0,24.0,2050,,5,5,,2750.0,421,298,366
2021,BMW,BMW,M240i Coupe,19.0,27.0,21.0,2300,,4,4,,4000.0,476,330,410
2021,BMW,BMW,M240i xDrive Convertible,21.0,30.0,24.0,2050,,5,5,,2750.0,424,295,366
2021,BMW,BMW,M240i xDrive Coupe,21.0,30.0,24.0,2050,,5,5,,2750.0,424,295,366
2021,BMW,BMW,M4 Competition Coupe,16.0,23.0,19.0,2550,,3,3,,5250.0,541,383,470
2021,BMW,BMW,M4 Coupe,16.0,23.0,19.0,2550,,3,3,,5250.0,548,379,472
2021,BMW,BMW,M440i Convertible,23.0,31.0,26.0,1900,,5,5,,2000.0,380,286,338
2021,BMW,BMW,M440i xDrive Coupe,22.0,31.0,25.0,1950,,5,5,,2250.0,393,287,346
2021,BMW,BMW,M8 Competition Convertible,15.0,21.0,17.0,2850,,3,3,,6750.0,605,415,520
2021,BMW,BMW,M8 Convertible,15.0,21.0,17.0,2850,,3,3,,6750.0,605,415,520
2021,BMW,BMW,M850i xDrive Convertible,17.0,24.0,19.0,2550,,3,3,,5250.0,526,363,453
2021,BMW,BMW,M850i xDrive Coupe,17.0,25.0,20.0,2450,,4,4,,4750.0,506,358,439
2021,General Motors,Chevrolet,CAMARO,22.0,30.0,25.0,1950,,5,5,,2250.0,412,296,358
2021,General Motors,Chevrolet,CAMARO,19.0,29.0,22.0,2200,,4,4,,3500.0,475,301,397
2021,General Motors,Chevrolet,CAMARO,18.0,29.0,22.0,1850,,4,4,,1750.0,483,307,404
2021,General Motors,Chevrolet,CAMARO,16.0,26.0,20.0,2000,,4,4,,2500.0,544,341,453
2021,General Motors,Chevrolet,CAMARO,13.0,21.0,16.0,3050,,2,2,,7750.0,692,423,571
2021,General Motors,Chevrolet,CAMARO,16.0,26.0,20.0,2450,,4,4,,4750.0,547,335,452
2021,General Motors,Chevrolet,CAMARO,16.0,24.0,19.0,2550,,3,3,,5250.0,563,373,477
2021,General Motors,Chevrolet,CAMARO,14.0,20.0,16.0,3050,,2,2,,7750.0,652,455,564
2021,General Motors,Chevrolet,SPARK,30.0,38.0,33.0,1250,,7,7,1250.0,,292,234,266
